A	B	C	set	pen
8619	8620	6965	2	2
8620	6965	6971	2	2
8620	8621	8623	1	-1
8621	8624	8010	2	2
8625	8626	8006	2	2
8626	6962	6920	2	2
8661	8662	15846	2	2
15844	8662	15839	2	2
8671	6932	8673	2	3
6977	6932	8684	2	3
8661	6915	6924	2	3
15839	8662	15844	1	-1
15839	8662	8661	2	2
8673	6932	6977	2	3
6932	8673	15837	1	-1
6932	8673	15837	2	2
6976	8672	8673	1	-1
15830	8684	8683	1	-1
6320	8694	6317	2	2
8694	6320	6840	2	2
8697	6335	8698	1	-1
8758	8759	6842	1	-1
8820	8793	8792	1	-1
8765	8763	8762	1	-1
8756	8772	8770	1	-1
8820	5267	15709	1	-1
6839	6848	15727	2	2
6848	6839	8764	2	2
8861	6957	6931	1	-1
8888	8889	15317	1	-1
15318	8891	9936	1	-1
8874	8920	8923	1	-1
8918	6229	15125	1	-1
15336	8872	8873	2	2
8892	6229	8918	1	-1
8868	6331	15259	2	2
8943	8942	8946	1	-1
15136	8944	6212	2	2
8940	8950	8944	1	-1
8976	8244	6115	1	-1
8976	8244	6115	2	2
8981	8234	6115	1	-1
8981	8234	6115	2	2
8972	8981	8234	1	-1
8981	8972	8242	1	-1
8234	8979	8975	1	-1
15175	8974	8969	1	-1
8961	6126	8959	2	2
6126	8961	15361	1	-1
6126	8961	15361	2	2
15152	8958	8959	2	2
8950	8944	15136	2	2
8934	6778	7902	1	-1
6778	8934	8995	1	-1
8995	8996	7901	2	2
8996	7901	7900	1	-1
8996	7901	7900	2	2
15122	8933	15121	1	-1
15122	8933	15121	2	2
8930	8932	9246	1	-1
8930	8932	9246	2	2
9003	8976	8980	1	-1
9003	8976	8980	2	2
9044	7871	7870	1	-1
9044	7871	7870	2	2
9040	6571	6572	1	-1
15408	9033	15414	1	-1
15408	9033	15414	2	2
9027	6429	8393	1	-1
9027	9055	8392	2	2
9055	8392	6429	1	-1
9055	8392	6429	2	2
9056	9057	8385	2	2
9035	6520	6521	2	2
9061	6473	5273	2	2
9031	6564	6570	2	2
8183	5305	5306	1	-1
8183	5305	5306	2	2
9065	9066	9069	1	-1
9065	8149	9064	1	-1
8149	9065	9066	1	-1
9065	8149	9064	2	3
8149	9065	9066	2	3
8086	9127	9076	1	-1
8086	9127	9076	2	2
9100	8060	6541	2	2
9144	9146	15480	1	-1
9144	9146	9890	1	-1
9151	9152	9213	1	-1
9219	9153	15494	2	2
9212	9155	15492	1	-1
9161	9162	6766	1	-1
9196	9164	9198	1	-1
9183	9184	15533	1	-1
9185	6705	13567	1	-1
9193	6757	13562	1	-1
9193	6757	13562	2	2
6757	9193	9189	2	2
9183	6737	6735	1	-1
9183	6737	6735	2	2
9164	9198	6704	1	-1
9164	9198	6704	2	2
9162	6766	9158	1	-1
6766	9162	9163	1	-1
9162	6766	9158	2	2
9201	8092	6768	1	-1
9201	8092	6768	2	2
9204	8440	6394	1	-1
9204	8440	6394	2	2
9173	9205	15566	1	-1
9206	9207	15562	2	2
9209	8099	6615	1	-1
9209	8099	6615	2	2
6570	9169	9031	2	2
6626	9147	15478	1	-1
9135	9153	9219	1	-1
9135	9153	9219	2	2
9216	8345	8344	1	-1
9216	8345	8344	2	2
9217	8344	6392	1	-1
9218	9219	9220	1	-1
15473	9154	9136	1	-1
15480	9143	9142	1	-1
15480	9143	9142	2	2
9221	9152	9213	1	-1
9220	9217	9218	1	-1
9221	9216	9217	1	-1
9221	9216	9217	2	2
9890	9146	15478	1	-1
9161	8077	8523	1	-1
9249	9257	13582	2	2
9250	6793	6796	2	2
9253	6707	9932	1	-1
9253	6707	9932	2	2
6338	9239	9240	1	-1
6338	9239	9240	2	2
9240	6338	6298	2	2
9241	6305	6338	2	2
9256	6332	6733	1	-1
9256	6332	6733	2	2
9245	6789	13590	2	2
6713	9246	8932	1	-1
6713	9246	8932	2	2
9249	9258	13577	2	2
9254	7780	6769	2	2
7173	9262	9263	1	-1
9262	7173	9263	1	-1
9283	7452	7454	2	2
9373	5866	5865	1	-1
9464	9465	9466	1	-1
9435	9497	9504	1	-1
9503	9479	9435	1	-1
9642	9460	9461	1	-1
9760	9758	9759	1	-1
9798	9796	9797	1	-1
10286	9802	10285	1	-1
9793	9805	9802	1	-1
9794	9806	9766	1	-1
9820	9815	9823	1	-1
9815	9824	16091	2	2
16090	9824	6028	2	2
6028	9824	9815	2	2
9822	9816	9817	1	-1
5440	9837	9836	1	-1
9840	6590	8452	2	2
9861	5285	5788	2	2
9874	6554	14073	2	2
9888	8110	6557	1	-1
9888	8110	6557	2	2
9902	6735	6736	1	-1
9913	8480	8475	2	2
9932	6707	9251	2	2
9933	6241	5324	1	-1
9933	6241	5324	2	2
9934	5255	10209	2	2
9940	5983	5982	2	2
9953	8673	8672	2	2
9971	6893	7015	2	3
9977	6329	15650	2	2
10007	5858	8788	1	-1
10007	5858	8788	2	2
10211	5224	5223	2	2
10218	6798	9228	2	2
10231	5478	10232	1	-1
10232	5477	10231	1	-1
10238	6195	10237	1	-1
10239	6103	8233	1	-1
10240	6196	10241	1	-1
10244	6631	10247	1	-1
10245	6631	6672	2	2
10246	6631	10247	1	-1
10261	7701	10262	1	-1
10276	9452	10277	1	-1
10277	9451	10276	1	-1
10287	9804	10288	1	-1
10312	10310	10311	1	-1
10345	10346	10347	1	-1
10347	5503	10345	1	-1
10352	10350	10353	1	-1
10354	10350	10351	1	-1
10373	10309	10375	1	-1
10384	6565	6577	2	2
10384	6565	6577	1	-1
10390	8457	8456	1	-1
10390	8457	8456	2	2
10401	6473	9060	2	2
10405	6067	15374	2	2
10418	6397	6762	2	2
10426	9199	6704	1	-1
10426	9199	6704	2	2
10430	8368	6450	1	-1
10430	8368	6450	2	2
10433	8367	8366	1	-1
10433	8367	8366	2	3
10436	8025	6453	1	-1
10436	8025	6453	2	2
10438	8447	6456	1	-1
10438	8447	6456	2	2
10441	6308	15461	1	-1
10448	7816	7815	1	-1
10448	7816	7815	2	2
10452	8247	6011	1	-1
10631	10634	10633	1	-1
10648	10656	12281	1	-1
12281	12279	10655	1	-1
12279	12281	11575	1	-1
12284	12283	12276	1	-1
12280	10651	12274	1	-1
13433	7899	7898	1	-1
13433	7899	7898	2	3
13550	6755	6756	2	2
13552	8090	6761	1	-1
13552	8090	6761	2	2
13554	7779	7792	2	2
13565	8039	6721	1	-1
13565	8039	6721	2	2
13566	7774	7789	1	-1
13566	7774	7789	2	2
13571	7773	6715	1	-1
13571	7773	6715	2	2
13578	9257	9249	1	-1
13578	9257	9249	2	2
13581	9258	9249	1	-1
13581	9258	9249	2	2
13582	8568	6795	1	-1
13584	8569	6730	1	-1
13588	9241	6305	2	2
13590	6789	6732	2	2
13832	9751	10532	2	2
13913	5202	5817	2	2
14036	6631	10248	2	2
14037	9065	9063	1	-1
14037	9065	9063	2	3
14072	6554	8051	1	-1
14072	6554	8051	2	2
14095	6738	14099	2	2
14096	6744	6745	2	2
14099	6739	14100	1	-1
14111	6571	9040	1	-1
14111	6571	9040	2	2
14115	7768	7786	1	-1
14115	7768	7786	2	2
15092	8490	8489	1	-1
15092	8490	8489	2	2
15105	7887	7886	1	-1
15105	7887	7886	2	2
15107	8985	8986	2	2
15107	8985	8986	1	-1
15108	7817	7836	1	-1
15111	8996	8995	1	-1
15111	8996	8995	2	2
15114	7829	7830	2	2
15117	7767	6727	1	-1
15117	7767	6727	2	2
15122	6777	15239	1	-1
15122	6777	15239	2	2
15138	8950	8940	1	-1
15145	8515	8514	1	-1
15149	5994	9907	2	2
15150	8511	8512	1	-1
15160	6112	9906	2	2
15162	7797	7798	2	2
15166	8958	8954	2	2
15171	8974	8969	1	-1
15171	8974	8975	1	-1
15172	6127	6047	1	-1
15172	6127	6047	2	2
15173	8245	6116	1	-1
15185	7760	6227	1	-1
15185	7760	6227	2	2
15195	6198	15194	1	-1
15195	6198	7723	1	-1
15195	6198	7723	2	2
15202	5997	8558	1	-1
15203	8557	6200	1	-1
15203	8557	6200	2	2
15213	8942	8946	1	-1
15217	7761	6227	1	-1
15217	7761	6227	2	2
15231	6296	15232	1	-1
15231	6296	6295	1	-1
15236	6775	6332	2	2
15239	6777	15297	2	2
15246	7842	7859	1	-1
15262	6935	15265	2	2
15278	5933	8880	2	2
15285	5224	10212	2	2
15291	6241	9933	1	-1
15291	6241	9933	2	2
15300	7903	7902	1	-1
15300	7903	7902	2	2
15301	7846	15300	1	-1
15301	7846	9939	1	-1
15301	7846	9939	2	2
15329	6213	15179	2	2
15334	5325	7838	2	2
15334	5325	7838	1	-1
15338	8240	6063	1	-1
15355	8237	6116	1	-1
15363	8404	6095	2	2
15367	5333	6095	2	2
15372	5271	15371	1	-1
15372	5271	15392	2	3
15372	5271	8391	1	-1
15391	5271	15392	1	-1
15391	5271	8391	1	-1
15391	5271	15390	1	-1
15392	8390	8391	1	-1
15393	7795	7796	2	2
15406	8458	8460	1	-1
15406	8458	8460	2	2
15408	6434	15409	1	-1
15408	6434	15409	2	2
15409	6434	10384	1	-1
15409	6434	10384	2	2
15419	8394	8393	1	-1
15423	7863	7862	1	-1
15423	7863	7862	2	2
15445	8379	8378	1	-1
15461	6308	8614	1	-1
15475	8346	6392	1	-1
15475	8346	6392	2	2
15476	6676	15475	1	-1
15476	6676	6392	1	-1
15476	6676	8144	1	-1
15476	6676	8144	2	2
15479	9147	15478	1	-1
15480	9146	9144	1	-1
15482	8097	6365	1	-1
15482	8097	6365	2	2
15486	8435	8076	1	-1
15486	8435	8076	2	2
15488	8098	6365	1	-1
15488	8098	6365	2	2
15489	8100	6615	1	-1
15489	8100	6615	2	2
15492	8106	6623	1	-1
15492	8106	6623	2	2
15493	9221	9220	1	-1
15497	8358	8357	1	-1
15497	8358	8357	2	2
15510	6396	8437	1	-1
15510	6396	8437	2	2
15511	8436	8076	1	-1
15511	8436	8076	2	2
15517	8091	6768	1	-1
15517	8091	6768	2	2
15518	8089	6761	1	-1
15518	8089	6761	2	2
15523	9193	9192	2	2
15524	6755	13550	2	2
15525	6757	9193	2	2
15527	9194	9188	1	-1
15527	9194	9188	2	2
15531	9195	9188	1	-1
15531	9195	9188	2	2
15532	8040	6721	1	-1
15532	8040	6721	2	2
15533	6735	9902	1	-1
15544	9202	9176	1	-1
15544	9202	9176	2	2
15552	6350	6351	1	-1
15552	6350	6351	2	2
15562	8031	6410	1	-1
15562	8031	6410	2	2
15563	9170	9206	1	-1
15563	9170	9206	2	2
15567	9204	9173	1	-1
15569	9207	9206	1	-1
15569	9207	9206	2	2
15574	8387	8386	1	-1
15574	8387	8386	2	2
15579	8365	6457	1	-1
15579	8365	6457	2	3
8932	9246	7972	1	-1
9246	8932	6712	1	-1
8932	9246	7972	2	2
9246	8932	6712	2	2
15643	6851	6835	1	-1
15656	6702	6703	2	2
15700	8126	5345	2	3
15746	8604	6876	1	-1
15767	7011	15781	1	-1
15772	8625	6970	2	2
15777	6962	8006	2	2
15779	6916	6974	2	2
15781	7011	15782	1	-1
15824	7037	15826	1	-1
15824	7037	15826	2	2
15846	8662	15844	2	2
16066	6021	6027	2	2
16067	6021	16066	2	2
16091	9824	16090	2	2
16322	8250	16329	1	-1
16322	8250	16329	2	2
16325	5467	5463	2	2
16343	5470	8260	2	2
16362	7037	15824	1	-1
16362	7037	15824	2	2
16414	6984	16413	1	-1
16101	6143	10078	1	-1
7697	6143	16112	1	-1
9593	9596	9597	1	-1
10282	9596	9424	1	-1
9597	9596	9593	1	-1
9372	5639	13678	2	2
5639	9372	13682	2	2
13677	9372	5639	1	-1
7602	5754	5771	2	2
5801	5803	5800	2	2
5802	5737	5803	1	-1
5737	5800	5803	2	2
5803	5800	5801	1	-1
5800	5803	5802	2	2
16607	9684	10504	1	-1
16607	9684	13804	1	-1
9683	9684	13804	1	-1
5520	5519	16238	1	-1
16101	6143	10078	2	2
9593	9596	9597	2	2
9597	9596	9593	2	2
16607	9684	10504	2	2
14046	8286	6380	1	-1
14046	8286	6380	2	2
8149	8285	6380	2	2
6380	8285	8149	2	2
6380	8286	8149	2	2
6683	6373	6684	1	-1
8518	6359	8516	2	2
6690	6359	9903	1	-1
6202	6208	6209	1	-1
6753	6760	6358	2	2
;6753	6760	13556	1	-1
6544	6542	10198	1	-1
9252	6726	194	1	-1
9252	6726	194	2	2
6541	6546	9878	1	-1
6541	6546	9878	2	2
14065	6546	9875	1	-1
14073	8274	6547	1	-1
14073	8274	6547	2	2
9131	8275	6547	1	-1
9131	8275	6547	2	2
8081	8080	6603	2	2
13554	7779	7792	1	-1
7780	6769	6708	1	-1
7792	7779	7777	1	-1
6457	8365	10430	1	-1
8568	8050	6730	1	-1
6438	6437	8054	1	-1
6438	6437	8054	2	2
8060	6437	6436	1	-1
8059	6436	6416	2	2
10409	6415	9871	1	-1
10409	6415	9871	2	2
6570	6576	10434	1	-1
6570	6576	10434	2	2
6559	6576	6570	2	2
6454	6576	6559	1	-1
6570	6576	10434	1	-1
6350	6351	15553	1	-1
6582	8450	8453	2	2
8450	8453	6600	1	-1
8450	8453	6600	2	2
6600	8452	8451	1	-1
6600	8452	8451	2	2
7932	6471	7934	2	2
7934	7933	7930	2	2
9040	6571	6572	2	2
15104	7885	7884	1	-1
15104	7885	7884	2	2
8938	5343	7886	1	-1
6342	8478	8477	1	-1
8473	8468	8467	1	-1
9912	8480	8479	1	-1
9912	8480	8479	2	2
8485	8470	8469	1	-1
9045	7869	7868	2	2
6578	6558	7870	1	-1
9045	7869	7868	1	-1
6567	5332	7862	1	-1
15424	7860	7861	1	-1
6520	6524	6475	2	2
6465	6524	6520	2	2
5232	7800	9046	2	2
15163	7800	7799	1	-1
15163	7800	7799	2	2
15162	7797	7798	1	-1
5321	5230	7798	1	-1
5321	5230	7799	1	-1
8513	8506	8505	1	-1
9913	8480	8475	1	-1
8477	8476	8471	1	-1
6580	7875	8461	1	-1
7874	6579	8463	1	-1
7872	7873	8465	1	-1
8501	8498	8499	1	-1
8493	8488	8487	1	-1
9054	8490	8491	2	2
9054	8490	8491	1	-1
8489	7804	7803	1	-1
5233	8496	8508	1	-1
8497	5201	7802	1	-1
15094	7808	7812	2	2
10202	7808	7807	1	-1
10202	7808	7807	2	2
8500	5259	7806	1	-1
5259	5327	7811	1	-1
7805	7809	7810	1	-1
15099	7813	7814	2	2
15099	7813	7814	1	-1
5327	6220	7815	1	-1
6227	7835	7821	1	-1
7834	5323	7759	1	-1
7833	7836	7824	1	-1
15108	7817	7836	2	2
8947	7817	7818	1	-1
8947	7817	7818	2	2
7817	7836	7833	1	-1
8939	7758	7819	1	-1
7758	5323	7834	1	-1
8936	7832	15335	2	2
15114	7829	7830	1	-1
15115	7832	7831	2	2
15115	7832	7831	1	-1
6235	5319	7830	1	-1
6235	5319	7831	1	-1
7830	5325	8869	1	-1
15335	5325	8869	1	-1
15335	5325	8869	2	2
15218	6205	15323	2	2
15324	6205	6228	2	2
15149	5994	9907	1	-1
15168	6119	15152	2	2
8409	6076	6065	2	2
8401	6076	8409	1	-1
8401	6076	8409	2	2
8397	6076	8401	1	-1
8397	6076	8401	2	2
6065	6076	8397	1	-1
6065	6076	8397	2	2
5284	8257	16323	2	2
5329	8257	5284	1	-1
5329	8257	5284	2	2
16318	8257	5329	2	2
16323	8257	16318	1	-1
16323	8257	16318	2	2
16323	8257	5284	1	-1
8892	6229	15125	2	2
8918	6229	8901	1	-1
6595	6566	6561	1	-1
10385	6566	6595	2	2
8452	6599	6601	1	-1
8452	6599	6601	2	2
6601	6599	6347	1	-1
6601	6599	6347	2	2
6599	6601	8451	1	-1
6599	6601	8451	2	2
6356	6601	6599	1	-1
6356	6601	6599	2	2
6788	6798	6407	1	-1
6799	6798	9228	2	2
6799	6798	9228	1	-1
6791	6799	6798	2	2
8063	8064	9097	1	-1
8083	9208	9167	1	-1
15514	8083	6607	1	-1
8440	8438	8437	1	-1
15510	6396	8437	1	-1
6766	9162	9163	1	-1
6762	9162	9163	1	-1
10421	9190	9189	1	-1
15524	9190	9189	1	-1
8055	8056	9100	1	-1
8033	8444	8445	1	-1
15534	6724	9901	1	-1
9926	9248	9257	2	2
9256	9243	9242	2	2
9930	9241	13588	1	-1
6095	8404	6044	2	2
7949	7952	7941	1	-1
7949	7952	7941	2	2
7940	7950	7947	1	-1
7940	7950	7947	2	2
7950	7947	7938	1	-1
7950	7947	7938	2	2
7939	7949	7952	1	-1
7939	7949	7952	2	2
8202	6480	7940	1	-1
6489	7948	7951	1	-1
8206	7948	7939	1	-1
6490	8177	8176	2	2
6774	9243	9244	2	2
8945	6219	8911	2	2
15333	6232	8870	1	-1
6558	6567	7866	1	-1
7869	7865	7864	1	-1
7735	8938	8991	1	-1
7889	8990	8989	2	2
7889	8990	8989	1	-1
8934	7733	7898	1	-1
8934	7733	7896	1	-1
15119	7897	7896	2	2
15119	7897	7896	1	-1
6778	8934	8994	1	-1
8994	8993	15112	2	2
15301	7846	6778	1	-1
6728	13439	13438	2	2
6728	13439	13438	1	-1
14113	13439	13440	2	2
14099	6739	14100	2	2
6491	6492	6486	2	2
6491	6492	6486	1	-1
10404	9061	5272	2	2
10404	9061	5272	1	-1
5272	9060	9058	2	2
6473	9060	5272	2	2
6473	9060	5272	1	-1
5272	9061	6473	2	2
6525	5272	9061	1	-1
6473	5272	9060	1	-1
15370	5271	5269	1	-1
15370	5271	15371	2	2
5270	5271	15390	1	-1
15391	5271	15390	2	2
5269	5271	15392	1	-1
5269	5271	15370	1	-1
15372	5271	15392	1	-1
6043	6128	5322	1	-1
6045	6128	6043	2	2
9919	7828	15115	2	2
15133	7828	7827	1	-1
15133	7828	7827	2	2
7759	7732	7826	1	-1
7759	7732	7827	1	-1
7826	7825	15114	2	2
15131	7825	7826	1	-1
15131	7825	7826	2	2
15106	8988	8987	1	-1
15106	8988	8987	2	2
6220	8939	8986	1	-1
15393	7795	7796	1	-1
6486	6487	6491	2	2
6486	6487	6491	1	-1
6486	6487	9062	2	2
6486	6487	9062	1	-1
6488	6487	5226	1	-1
9062	6491	6492	2	2
5282	6491	6487	2	2
6491	6487	5226	1	-1
6491	6487	5226	2	2
5331	5284	6084	2	2
5329	5284	5331	2	2
8257	5284	5329	1	-1
8257	5284	5329	2	2
6084	5284	8257	2	2
5284	5331	15388	2	2
10405	6073	8400	2	2
6064	6073	10405	2	2
6078	6073	6064	2	2
8400	6073	6078	2	2
9008	6047	9850	2	2
6127	6047	8997	2	2
8968	6117	15171	2	2
15183	7731	9921	2	2
5177	5181	5174	1	-1
11623	11624	11593	1	-1
5865	5864	9373	1	-1
11227	11229	11223	1	-1
11229	11227	11228	1	-1
7279	7280	7278	1	-1
12043	12042	11977	1	-1
12045	12047	12046	1	-1
7966	6783	6313	1	-1
15233	6783	6313	1	-1
6313	6783	6772	1	-1
15235	6783	7966	1	-1
15235	6783	15233	1	-1
8152	8134	8272	1	-1
8321	8307	8308	1	-1
5999	5997	8559	1	-1
8930	8931	9246	1	-1
6359	8546	6366	1	-1
7959	7961	7960	1	-1
6378	6379	6508	1	-1
6378	6379	6548	1	-1
10244	6631	6672	1	-1
10244	6631	6660	1	-1
10246	6631	6672	1	-1
10246	6631	14036	1	-1
8290	8291	6629	1	-1
8290	8291	6629	2	-1
8290	8291	8341	1	-1
8290	8291	8341	2	-1
27271	6675	8291	1	-1
6680	6676	27273	1	-1
6680	6676	27273	2	2
