A	B	C	set	pen
9102	6536	7956	1	-1
9102	6536	7956	2	2
10394	6481	8287	1	-1
6536	6438	6418	2	2
7956	6536	6438	1	-1
7956	6536	6438	2	2
6468	6530	6447	2	3
7928	6534	15432	1	-1
7928	6534	15432	2	2
6433	9027	9056	1	-1
15432	6534	15441	1	-1
15432	6534	15441	2	2
6447	6530	14081	2	3
6530	6447	9102	2	3
10197	6544	6542	2	2
6541	8060	9874	1	-1
6541	8060	9874	2	2
6542	6544	14063	2	2
6544	6542	10198	2	2
8063	6554	8059	2	2
8059	6554	9874	1	-1
8059	6554	9874	2	2
6556	6417	14068	2	2
6417	6555	6416	2	2
6555	6417	6556	2	2
14068	6417	6414	2	2
6414	6417	6555	2	2
6543	8282	8281	1	-1
6543	8282	8281	2	2
6557	8109	9887	2	2
9841	6434	15408	1	-1
9841	6434	15408	2	2
6562	6563	6561	1	-1
6562	6563	6561	2	2
6572	6571	6402	1	-1
6572	6571	6402	2	2
6567	5332	7861	1	-1
10434	6575	9169	1	-1
10384	6434	9841	1	-1
10384	6434	9841	2	2
8372	6448	6420	1	-1
6564	6570	9169	1	-1
6570	6564	7974	1	-1
6564	6570	9169	2	2
6570	6564	7974	2	2
6420	8375	8372	1	-1
6448	6420	8375	1	-1
6420	6419	8378	1	-1
15402	6569	10388	1	-1
15402	6569	10388	2	2
6578	6558	7868	1	-1
6562	6569	9041	1	-1
6562	6569	9041	2	2
8468	6579	7872	1	-1
6571	6580	8459	1	-1
6402	6571	6580	1	-1
6402	6571	10390	1	-1
6402	6571	10390	2	2
6594	6595	6589	1	-1
6594	6595	6589	2	2
6561	6563	6589	1	-1
6561	6563	6589	2	2
6563	6561	9049	1	-1
6563	6561	9049	2	2
6563	6589	6595	2	2
6589	6595	6561	2	2
6595	6589	6593	2	2
7960	6585	6596	1	-1
7960	6585	6596	2	2
6592	6583	7961	1	-1
6592	6583	7961	2	2
6585	6596	7958	1	-1
6585	6596	7958	2	2
7973	6570	6564	2	2
