BZONENUM,MZONENUM,TAZONENUM,ID,COUNTY,TOWN,AREA,HH,RESIDENT,HS,IND12,IND3A,IND3B,SCHEMP,GOVC,EXPO,UNV,SENIOR,JNR,TENANT,WORKER,NONWKR,STU6_14,STU15,INC,EMPD,DHBWP,DHBEP,DHBUP,DHBOP,DHBPP,DHBSP,DNHBP,DHBWA,DHBEA,DHBUA,DHBOA,DHBPA,DHBSA,DNHBA,APHBWP,APHBEP,APHBUP,APHBOP,APHBPP,APHBSP,APNHBP,APHBWA,APHBEA,APHBUA,APHBOA,APHBPA,APHBSA,APNHBA,POPDEN,DAYP,DAYA,AMP,AMA
11.0000,"36","36019","511",新北市,瑞芳區,11.1190,477.000000,1583.000000,"3.32",9.000000,20.000000,10.000000,20.000000,0.000000,0.000000,0.000000,0.000000,29.000000,1424.000000,682.000000,742.000000,167.000000,134.000000,"72.3",726.000000,926.590000,68.870000,247.820000,220.300000,117.430000,50.060000,228.120000,92.020000,27.800000,0.000000,62.170000,36.820000,19.860000,47.150000,115.790000,21.954200,35.250600,0.000000,37.410000,0.000000,46.990000,12.888600,8.340000,0.000000,9.752500,11.033200,3.122400,6.021500,142.3689,1859.19,285.82,257.39,51.16
11.0000,"36","36021","512",新北市,瑞芳區,0.6604,118.000000,253.000000,"2.14",1.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,352.000000,169.000000,184.000000,27.000000,22.000000,"72.3",116.000000,243.930000,8.680000,48.180000,217.950000,14.800000,49.550000,33.950000,16.430000,0.000000,0.000000,17.190000,0.000000,12.020000,11.780000,34.650000,2.951900,7.089500,16.930000,5.030000,3.830000,4.060000,2.669700,0.000000,0.000000,1.916400,0.000000,1.345300,1.182300,383.1012,617.04,57.42,74.54,7.11
11.0000,"36","36022","513",新北市,瑞芳區,0.7948,0.000000,0.000000,"0",0.000000,94.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1377.490000,0.000000,0.000000,440.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,161.107600,0.000000,0.000000,40.547400,0.0000,0.00,1818.26,0.00,201.66
11.0000,"36","36039","514",新北市,瑞芳區,30.2888,4588.000000,11711.000000,"2.55",633.000000,530.000000,100.000000,250.000000,0.000000,0.000000,0.000000,0.000000,2957.000000,13701.000000,6560.000000,7140.000000,1237.000000,997.000000,"72.3",5374.000000,4767.190000,671.170000,1289.070000,2940.440000,1144.510000,668.270000,2284.000000,2080.070000,1077.130000,0.000000,1609.740000,1893.040000,514.160000,1174.690000,566.890000,250.702000,195.286300,399.510000,427.130000,90.450000,447.710000,266.911100,411.580000,0.000000,180.351800,722.361500,57.849500,122.133200,386.6446,13764.65,8348.83,2377.68,1761.19
11.0000,"36","36049","515",新北市,瑞芳區,9.1546,7249.000000,19746.000000,"2.72",876.000000,1520.000000,360.000000,310.000000,870.000000,0.000000,0.000000,1504.000000,1899.000000,21647.000000,10365.000000,11282.000000,2086.000000,1681.000000,"72.3",9061.000000,6599.750000,1060.490000,1319.350000,5102.480000,1808.380000,1159.530000,3570.010000,2996.950000,1033.410000,2105.880000,3370.940000,1856.090000,1076.370000,1779.940000,800.250000,370.309200,219.508800,559.880000,630.910000,126.760000,680.790000,392.817500,362.440000,497.270000,385.135100,650.111400,123.469700,220.791600,2156.9484,20619.99,14219.58,3388.41,2632.04
11.0000,"36","36059","516",新北市,瑞芳區,19.5195,3250.000000,9420.000000,"2.9",2951.000000,550.000000,210.000000,50.000000,0.000000,0.000000,0.000000,0.000000,423.000000,9705.000000,4647.000000,5058.000000,995.000000,802.000000,"72.3",4323.000000,4611.360000,496.640000,1108.230000,6003.810000,846.890000,1364.420000,2907.950000,2500.840000,405.420000,0.000000,2102.180000,536.860000,670.370000,1888.850000,1050.050000,158.082100,261.760300,365.170000,269.330000,82.730000,254.630000,696.794700,136.960000,0.000000,226.867000,181.134600,72.628100,138.965400,482.5943,17339.30,8104.52,2441.75,1453.35
10.0000,"37","37019","517",新北市,萬里區,62.9419,6884.000000,21604.000000,"3.14",1510.000000,1390.000000,290.000000,160.000000,250.000000,0.000000,0.000000,493.000000,1101.000000,22042.000000,10434.000000,11608.000000,2282.000000,1839.000000,"145.7",9900.000000,13592.040000,1367.640000,2273.990000,12705.680000,2223.200000,3356.930000,5566.250000,2385.020000,571.810000,790.080000,3380.130000,925.450000,944.630000,3094.850000,3670.120000,480.490400,365.326100,1001.830000,780.370000,263.870000,744.070000,323.725000,162.140000,142.780000,272.890600,262.071500,76.573700,299.111200,343.2372,41085.73,12091.97,7306.08,1539.29
8.0000,"38","38019","518",新北市,樹林區,2.2358,5146.000000,15964.000000,"3.1",11271.000000,2560.000000,480.000000,80.000000,0.000000,0.000000,0.000000,0.000000,1375.000000,16276.000000,7370.000000,8906.000000,1686.000000,1360.000000,"114.7",7310.000000,5551.040000,1431.450000,2261.950000,5121.830000,2373.510000,1298.000000,4580.630000,10164.680000,1215.630000,0.000000,5090.220000,2010.500000,1367.080000,6851.090000,1632.360000,399.928400,421.146100,502.910000,662.550000,127.000000,1025.830000,2853.062000,343.780000,0.000000,592.898300,567.846500,159.994600,1227.965000,7140.1735,22618.41,26699.20,4771.72,5745.55
8.0000,"38","38029","519",新北市,樹林區,3.3036,6025.000000,18685.000000,"3.1",11660.000000,1910.000000,360.000000,80.000000,790.000000,0.000000,0.000000,0.000000,1617.000000,19056.000000,8629.000000,10427.000000,1974.000000,1591.000000,"114.7",8556.000000,7023.850000,1287.080000,2506.900000,6857.200000,2134.140000,1737.490000,5309.540000,11642.910000,1175.800000,0.000000,7053.200000,1946.830000,1897.340000,12421.170000,1988.860000,374.461900,457.942600,522.630000,620.370000,131.980000,1003.260000,3489.153000,361.530000,0.000000,536.680700,597.820900,144.965000,1006.813000,5655.9511,26856.20,36137.25,5099.50,6136.96
8.0000,"38","38039","520",新北市,樹林區,0.9376,2693.000000,8377.000000,"3.11",3797.000000,780.000000,690.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8517.000000,3857.000000,4661.000000,885.000000,713.000000,"114.7",3836.000000,3290.400000,329.970000,873.940000,3432.570000,547.160000,869.800000,2496.520000,4053.740000,0.000000,0.000000,2556.590000,0.000000,687.630000,4859.380000,930.170000,114.293800,148.318400,255.310000,189.360000,64.470000,499.010000,1224.408000,0.000000,0.000000,209.569300,0.000000,56.594500,409.011000,8934.5137,11840.36,12157.34,2200.93,1899.58
8.0000,"38","38049","521",新北市,樹林區,1.4181,8959.000000,26473.000000,"2.95",2685.000000,3010.000000,1080.000000,270.000000,610.000000,0.000000,0.000000,2690.000000,2269.000000,28335.000000,12831.000000,15505.000000,2796.000000,2254.000000,"114.7",12123.000000,10229.080000,2400.370000,2989.030000,10276.810000,3980.160000,2604.200000,8334.260000,4829.690000,2041.230000,3508.370000,6225.890000,3396.030000,1673.460000,10626.720000,2869.570000,659.235900,571.197500,929.190000,1092.150000,234.650000,1708.000000,1210.289000,580.670000,673.810000,417.473000,964.832800,112.666900,1128.615000,18667.9360,40813.91,32301.39,8063.99,5088.36
8.0000,"38","38059","522",新北市,樹林區,3.1926,9044.000000,27507.000000,"3.04",3578.000000,3250.000000,1270.000000,250.000000,140.000000,0.000000,0.000000,0.000000,3950.000000,28604.000000,12952.000000,15652.000000,2905.000000,2343.000000,"114.7",12596.000000,11050.480000,2001.130000,3120.450000,10173.790000,3318.100000,2577.530000,9172.200000,6518.010000,2295.150000,0.000000,6663.690000,3806.240000,1791.250000,11757.840000,2995.530000,546.052800,436.674100,896.820000,904.630000,226.470000,1826.010000,1875.307000,704.200000,0.000000,497.259200,1166.316000,134.192300,1545.682000,8615.8617,41413.68,32832.18,7832.19,5922.96
8.0000,"38","38069","523",新北市,樹林區,0.2283,528.000000,1288.000000,"2.44",34.000000,350.000000,90.000000,0.000000,200.000000,0.000000,0.000000,0.000000,0.000000,1670.000000,756.000000,914.000000,136.000000,110.000000,"114.7",590.000000,795.000000,62.580000,151.400000,678.880000,103.780000,172.020000,590.890000,394.320000,0.000000,0.000000,512.740000,0.000000,131.040000,634.460000,215.990000,20.223100,22.469800,53.810000,33.500000,13.590000,113.160000,102.288900,0.000000,0.000000,31.063700,0.000000,7.971600,58.932500,5641.6995,2554.55,1672.56,472.74,200.26
8.0000,"38","38079","524",新北市,樹林區,0.8255,8483.000000,26352.000000,"3.11",2654.000000,1690.000000,630.000000,450.000000,0.000000,0.000000,0.000000,1580.000000,5339.000000,26830.000000,12149.000000,14681.000000,2783.000000,2244.000000,"114.7",12067.000000,9979.890000,2478.940000,2791.730000,8247.870000,4110.510000,2090.190000,7236.480000,4832.980000,3499.550000,2237.370000,5935.410000,5810.480000,1596.690000,7422.840000,2783.300000,701.653300,493.813600,796.160000,1162.410000,201.050000,1688.500000,1196.211000,1071.580000,444.420000,413.319100,1776.868000,111.632800,1045.747000,31922.4712,36935.61,31335.32,7826.89,6059.78
8.0000,"38","38089","525",新北市,樹林區,1.5243,3683.000000,11710.000000,"3.18",2057.000000,570.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11649.000000,5275.000000,6374.000000,1237.000000,997.000000,"114.7",5362.000000,8734.090000,604.720000,2006.850000,6674.470000,1002.670000,1690.910000,5408.610000,2993.900000,0.000000,0.000000,1934.320000,0.000000,520.140000,2864.330000,1557.240000,130.894600,256.768100,473.830000,216.850000,119.660000,871.590000,648.559900,0.000000,0.000000,152.227900,0.000000,41.113100,317.696700,7682.2148,26122.32,8312.69,3626.83,1159.60
8.0000,"38","38099","526",新北市,樹林區,9.6383,5253.000000,16697.000000,"3.18",8843.000000,1320.000000,230.000000,70.000000,440.000000,0.000000,0.000000,0.000000,945.000000,16614.000000,7523.000000,9091.000000,1764.000000,1421.000000,"114.7",7646.000000,14303.340000,1989.540000,3178.110000,10315.360000,3298.790000,2612.880000,10878.070000,11503.210000,1220.170000,0.000000,5183.990000,1842.260000,1394.400000,9521.120000,2393.330000,397.106600,371.460500,714.430000,657.890000,180.420000,1428.560000,3360.447000,317.010000,0.000000,511.998400,477.993100,138.308600,1204.159000,1732.3594,46576.09,30665.15,6143.20,6009.92
8.0000,"38","38109","527",新北市,樹林區,8.4951,7437.000000,19247.000000,"2.59",5071.000000,1170.000000,130.000000,160.000000,10.000000,0.000000,0.000000,0.000000,2976.000000,23522.000000,10651.000000,12871.000000,2033.000000,1638.000000,"114.7",8814.000000,6987.170000,997.700000,1382.160000,5165.180000,1654.400000,1309.280000,5271.370000,10516.540000,2024.940000,0.000000,4446.810000,3354.330000,1196.510000,6232.130000,1849.120000,318.095500,250.111800,583.780000,526.980000,147.420000,1616.910000,1861.949000,541.580000,0.000000,274.204900,895.947600,74.073800,895.149300,2265.6590,22767.26,27771.26,5292.42,4542.90
11.0000,"39","39019","528",新北市,雙溪區,146.0902,3812.000000,9832.000000,"2.58",410.000000,300.000000,60.000000,120.000000,100.000000,0.000000,0.000000,444.000000,526.000000,11037.000000,5455.000000,5583.000000,1038.000000,837.000000,"68.1",4500.000000,4306.100000,537.840000,1120.810000,2471.850000,888.680000,655.370000,1970.320000,649.650000,241.410000,586.590000,955.710000,391.520000,267.920000,419.080000,659.750000,133.536300,192.391400,256.590000,220.440000,67.830000,237.380000,119.037100,76.710000,176.320000,147.732900,124.251100,41.595000,114.468600,67.3009,11950.97,3511.88,1767.92,800.11
9.0000,"40","40019","529",新北市,蘆洲區,1.5782,5439.000000,15895.000000,"2.92",734.000000,1150.000000,270.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16952.000000,7645.000000,9307.000000,1679.000000,1353.000000,"137.5",7276.000000,10339.270000,687.730000,1239.970000,6001.010000,1133.660000,1577.330000,4980.360000,2548.650000,0.000000,0.000000,1726.740000,0.000000,487.290000,1871.800000,2122.780000,200.769700,255.704700,472.570000,330.680000,123.800000,990.860000,498.596100,0.000000,0.000000,120.130800,0.000000,34.045000,203.408400,10071.6006,25959.33,6634.48,4497.16,856.18
9.0000,"40","40029","530",新北市,蘆洲區,0.3181,5957.000000,16789.000000,"2.82",934.000000,2090.000000,660.000000,0.000000,70.000000,0.000000,0.000000,0.000000,0.000000,18566.000000,8373.000000,10193.000000,1773.000000,1430.000000,"137.5",7685.000000,12368.720000,753.220000,1524.080000,6944.020000,1241.620000,1825.080000,5543.380000,3527.640000,0.000000,0.000000,2412.300000,0.000000,680.710000,2267.680000,2405.060000,209.075100,293.594100,504.500000,344.370000,132.160000,1071.980000,761.757600,0.000000,0.000000,185.719700,0.000000,52.628800,285.895900,52779.0003,30200.12,8888.33,4960.74,1286.00
