ID,LENGTH,DIR,A,B,ROADNAME,OTHERNAME,PROJECTNAM,YEAR,LEVEL_110,CLASS_110,LANES_110,ROW,S0,ALPHA,BETA,NMT_110,NTK_110,NBUS_110,COUNTY,MRTXFERPEN,ETAG
"6860",0.13,"1","7591","5813",過圳街,過圳街,,"104","6","68","1",,"32",1.5554,3.8290,"0","0","0","2",,
"6861",0.22,"-1","7595","13905",過圳街,過圳街,,"104","6","68","1",,"32",1.5554,3.8290,"0","0","0","2",,
"6863",0.24,"1","7594","13906",過圳街,過圳街,,"104","6","68","1",,"32",1.5554,3.8290,"0","0","0","2",,
"6866",0.28,"-1","5736","13902",過圳街,過圳街,,"104","6","68","1",,"32",1.5554,3.8290,"0","0","0","2",,
"6868",0.30,"1","7596","13901",過圳街,過圳街,,"104","6","68","1",,"32",1.5554,3.8290,"0","0","0","2",,
"6877",0.10,"-1","7597","7598",台1,台1高架匝道,,"104","2","10","1",,"48",1.0010,4.7645,"1","0","0","2",,
"6878",0.10,"1","7597","7599",台1,台1高架匝道,,"104","2","10","1",,"48",1.0010,4.7645,"1","0","0","2",,
"6879",0.27,"-1","7600","7601",台1,台1高架匝道,,"104","2","10","1",,"48",1.0010,4.7645,"1","0","0","2",,
"6881",0.27,"1","7602","7601",台1,台1高架匝道,,"104","2","10","1",,"48",1.0010,4.7645,"1","0","0","2",,
"6882",0.03,"2","7603","7589",縣104,成功路,,"104","4","33","3",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6883",0.27,"1","5784","7603",縣104,成功路,,"104","4","31","1",,"41",1.5577,3.6819,"0","0","0","2",,
"6884",0.02,"2","7604","5784",環河南路,環河南路,,"104","6","69","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6885",0.27,"1","7603","7604",縣104,成功路,,"104","4","31","1",,"41",1.5577,3.6819,"0","0","0","2",,
"6888",0.31,"1","7606","7573",環河南路,環河南路,,"104","6","69","2",,"41",1.5577,3.6819,"0","0","0","2",,
"6889",0.33,"1","7606","7607",臺北大橋匝道,,,"104","3","27","1",,"60",0.8397,5.3445,"1","0","0","2",,
"6890",0.54,"2","7607","7609",台1甲,臺北大橋,,"104","3","27","3",,"60",0.8397,5.3445,"1","0","0","4","0",0.0000
"6891",0.37,"1","7607","7608",臺北大橋匝道,,,"104","3","27","1",,"60",0.8397,5.3445,"1","0","0","2",,
"6892",0.83,"1","7608","5239",環河北路,環河北路,,"104","6","69","2",,"41",1.5577,3.6819,"0","0","0","2",,
"6893",0.14,"2","7609","6540",台1甲,民權西路高架,,"104","3","24","3",,"60",0.8397,5.3445,"1","1","0","1","0",0.0000
"6894",0.88,"1","6544","5202",台北大橋機車專用道,,,"104","7","84","1",,"57",0.9721,3.3990,"0","1","1","4",,
"6897",0.22,"1","6540","8279",台1甲,台北大橋匝道,,"104","3","14","1",,"32",1.5554,3.8290,"0","1","0","1",,
"6898",0.07,"2","7545","5819",自強路三段,自強路三段,,"104","6","62","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6899",0.07,"2","7550","13932",力行路二段,力行路二段,,"104","6","68","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6900",0.21,"2","7547","5835",力行路二段,力行路二段,,"104","6","68","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6901",1.28,"2","5797","7601",台1,台1高架道路,,"104","2","8","2",,"74",1.1396,4.2634,"1","0","0","2","0",0.0000
"6902",0.01,"2","7594","7595",台1甲,重新路四段,,"104","3","16","3",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6903",0.19,"2","7595","5810",台1甲,重新路三段,,"104","3","16","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6904",0.02,"2","7596","5736",中山路,中山路,,"104","6","64","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6905",0.36,"1","7600","7598",中山路,中山路,,"104","6","68","1",,"32",1.5554,3.8290,"0","0","0","2",,
"6906",0.28,"1","7602","5754",中山路,中山路,,"104","6","68","1",,"32",1.5554,3.8290,"0","0","0","2",,
"6907",0.11,"1","7598","5752",中山路,中山路,,"104","6","68","1",,"32",1.5554,3.8290,"0","0","0","2",,
"6908",0.36,"1","7599","7602",中山路,中山路,,"104","6","68","1",,"32",1.5554,3.8290,"0","0","0","2",,
"6909",0.27,"2","7597","10314",台1,台1高架道路,,"104","2","8","2",,"74",1.1396,4.2634,"1","0","0","2","0",0.0000
"6910",0.71,"2","7601","7597",台1,台1高架道路,,"104","2","8","2",,"74",1.1396,4.2634,"1","0","0","2","0",0.0000
"6911",0.97,"2","7610","13456",中興北街,中興北街,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6912",0.31,"1","7610","5575",中山路,中山路,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2",,
"6913",0.08,"1","5575","7614",中山路,中山路,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2",,
"6914",0.02,"2","7611","7610",中興北街,中興北街,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6916",0.02,"2","7612","5575",光復路二段,光復路二段,,"104","6","64","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6917",0.31,"1","7612","7611",中山路,中山路,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2",,
"6918",0.17,"1","5576","7611",台1,台1高架匝道,,"104","2","10","1",,"48",1.0010,4.7645,"1","0","0","2",,
"6919",0.17,"1","7610","5576",台1,台1高架匝道,,"104","2","10","1",,"48",1.0010,4.7645,"1","0","0","2",,
"6920",0.06,"1","7613","7612",中山路,中山路,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2",,
"6921",0.35,"2","7615","5734",捷運路,捷運路,,"104","6","69","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6924",0.11,"1","5757","5761",疏洪十四路,疏洪十四路,,"104","6","65","2",,"41",1.5577,3.6819,"0","0","0","2",,
"6925",0.11,"1","7616","7617",15號越堤道,15號越堤道,,"104","6","62","2",,"32",1.5554,3.8290,"0","0","0","2",,
"6926",0.22,"2","7618","7620",堤外道路,堤外道路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6927",0.12,"1","7618","7617",15號越堤道,15號越堤道,,"104","6","62","2",,"32",1.5554,3.8290,"0","0","0","2",,
"6928",0.03,"2","7616","5731",北70-1,疏洪西路,,"104","5","47","2",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"6929",0.14,"1","7617","5730",15號越堤道,15號越堤道,,"104","6","62","2",,"32",1.5554,3.8290,"0","0","0","2",,
"6930",0.19,"2","7619","5750",疏洪十四路,疏洪十四路,,"104","6","65","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6931",0.13,"1","7620","7617",15號越堤道,15號越堤道,,"104","6","62","2",,"32",1.5554,3.8290,"0","0","0","2",,
"6932",0.42,"2","7619","7623",堤外道路,堤外道路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6933",2.04,"2","7618","10484",堤外道路,堤外道路,,"104","6","76","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6934",0.46,"2","7621","7618",疏洪十六路,疏洪十六路,,"104","6","69","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6935",0.17,"2","7622","7588",疏洪東路一段,疏洪東路一段,,"104","6","69","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6936",0.47,"2","7621","7622",疏洪一路,疏洪一路,,"104","6","64","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6937",0.28,"2","7623","7620",堤外道路,堤外道路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6938",0.41,"2","5753","7623",疏洪十四路,疏洪十四路,,"104","6","65","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6939",0.03,"2","7589","13897",縣104,成功路,,"104","4","33","3",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6940",0.19,"2","7593","13900",台1甲,重新路四段,,"104","3","16","3",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"40554",0.52,"1","27734","27732",新北環快,,,"104","6","47","3",,"32",1.5554,3.8290,"0","0","0","2",,
"6943",0.31,"2","7666","7625",安樂街,安樂街,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6944",0.09,"1","7626","7627",安興路,安興路,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2",,
"6946",0.20,"2","7628","10074",中央五街,中央五街,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6949",0.23,"2","7630","7631",新店路,新店路,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6952",0.82,"2","7630","7632",新店路,新店路,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6953",0.55,"2","5978","16142",光明街,光明街,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6959",0.11,"2","7630","7634",國校路,國校路,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"6961",0.27,"2","7634","7635",文中路,文中路,,"104","6","74","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"6962",5.80,"2","7637","7636",新潭路一段19巷,直潭一街,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"6982",1.02,"2","7638","7639",其他道路,其他道路,,"104","6","74","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"6984",2.58,"2","7640","7641",小坑路,小坑路,,"104","6","74","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"6986",1.86,"2","7641","7643",廣興路,廣興路,,"104","6","74","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"6989",0.22,"2","7642","7643",其他道路,其他道路,,"104","6","78","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"6990",0.90,"2","7643","7644",松林路,松林路,,"104","6","74","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"6996",3.85,"2","7641","10087",平廣路一段,平廣路一段,,"104","6","74","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7004",6.52,"2","7645","7646",桂山路,桂山路,,"104","6","71","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"7005",5.51,"2","5095","7647",台9甲,,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","1","2","0",0.0000
"7006",0.40,"2","7648","7649",烏來觀光大橋,烏來觀光大橋,,"104","6","78","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"7007",0.35,"2","7649","16082",其他道路,溫泉街,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","1","2","0",0.0000
"7010",2.38,"2","7651","16083",環山路,環山路,,"104","6","74","1",,"50",3.7600,3.2900,"0","0","1","2","0",0.0000
"7013",0.33,"2","7653","16124",安忠路,安忠路,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"7019",0.10,"1","7654","7655",其他道路,其他道路,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2",,
"7020",0.07,"2","7656","16139",安德街,安德街,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7022",0.06,"2","7657","7658",安德街,安德街,,"104","6","64","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7023",0.11,"2","7658","16530",安德街,安德街,,"104","6","64","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7024",0.20,"2","7657","7660",安成街,安成街,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7025",0.15,"2","7661","7658",安德街116巷,安德街116巷,,"104","6","64","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7027",0.40,"2","5215","16528",車子路,車子路,,"104","6","71","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"7031",0.37,"2","7663","17069",建業路,建業路,,"104","6","74","1",,"50",3.7600,3.2900,"0","1","0","2","0",0.0000
"7032",0.20,"2","7669","16170",錦秀路,錦秀路,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7033",0.72,"2","7637","5094",台9甲,新鳥路一段,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7034",1.94,"2","7636","7640",新潭路一段,新潭路一段,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"7035",0.69,"2","7639","7637",台9甲,新鳥路一段,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7036",0.86,"2","7642","7644",台9甲,新鳥路二段,,"104","3","19","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"7037",0.30,"2","7644","7645",台9甲,新鳥路三段,,"104","3","19","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"7038",0.64,"2","7648","5095",台9甲,新鳥路三段,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","1","2","0",0.0000
"7039",15.32,"2","7651","5196",信福路,信福路,,"104","6","74","1",,"50",3.7600,3.2900,"0","0","1","2","0",0.0000
"7040",2.23,"2","7640","5953",新潭路二段,新潭路二段,,"104","6","74","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7041",0.75,"2","7632","5950",台9,北宜路一段,,"104","3","14","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7042",0.50,"2","7634","7632",台9,北宜路一段,,"104","3","14","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7043",0.11,"2","7633","5965",台9,北宜路一段,,"104","3","14","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7044",0.04,"2","7631","7633",台9,北宜路一段,,"104","3","14","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7045",0.37,"2","7628","10075",民生路,民生路,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"7046",0.16,"2","7629","10073",中央路,中央路,,"104","6","65","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"7048",0.05,"2","7666","7667",安業街,安業街,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"7049",0.32,"2","7667","5912",安業街,安業街,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"40565",1.66,"1","27738","27741",台62甲,台62甲,,"104","2","11","2",,,,,"1","0","0",,,
"7051",0.04,"2","7659","16163",縣110,安康路二段,,"104","4","30","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7052",0.17,"2","7660","16529",縣110,安康路二段,,"104","4","30","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7053",0.34,"2","7656","7660",縣110,安康路二段,,"104","4","30","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7054",0.52,"2","7661","5215",,,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"7055",0.18,"2","7653","16122",縣110,安康路一段,,"104","4","31","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"7056",0.06,"2","7655","16137",縣110,安康路二段,,"104","4","30","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7057",0.26,"2","7663","16423",縣110,安康路三段,,"104","4","35","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"7058",0.57,"2","7664","16169",縣110,安康路三段,,"104","4","38","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7059",0.89,"2","7669","17229",縣110,安康路三段,,"104","4","38","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7060",5.88,"2","7645","7648",台9甲,新鳥路三段,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"7061",0.30,"2","7625","5908",縣111,,,"104","4","30","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7062",0.14,"2","7627","5908",其它道路,其它道路,,"104","6","79","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"7063",0.12,"-1","7626","5910",其他道路,安興路,,"104","6","63","1",,"41",1.5577,3.6819,"0","0","0","2",,
"7064",0.09,"-1","7654","5959",,,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2",,
"7065",5.12,"1","7670","5923",國3,第二高速公路,,"104","1","1","3",,"104",0.8850,4.8323,"1","0","0","4",,1.6603
