ID,LENGTH,DIR,A,B,ROADNAME,OTHERNAME,PROJECTNAM,YEAR,LEVEL_110,CLASS_110,LANES_110,ROW,S0,ALPHA,BETA,NMT_110,NTK_110,NBUS_110,COUNTY,MRTXFERPEN,ETAG
"4",0.30,"2","17252","10118",台2,登輝大道,,"104","3","21","3",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"5",4.13,"2","5003","5006",北28-1,大坪產業道路,,"104","5","56","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"6",1.23,"2","5007","5008",台2乙,中山路,,"104","3","16","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"7",0.54,"2","5009","10122",北3,小坪頂路,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"8",1.47,"2","5011","5001",北28,萬崁公路,,"104","5","56","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"9",2.34,"-1","83128","83127",臺北捷運,紅線,,"104","9","96","0",MRT,,0.0000,,"1","1","1","2",,
"10",2.17,"2","5012","8725",台2甲,陽金公路,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","1","0",0.0000
"11",1.55,"2","5014","5015",台9,北宜公路,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"12",6.69,"2","5016","5014",北47,碇格路二段,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"14",1.86,"1","5018","5019",國3,福爾摩沙高速公路,,"104","1","2","3",,"104",0.8850,4.8323,"1","0","0","2",,0.6032
"15",0.29,"2","5020","10146",福德一路,福德一路,,"104","6","64","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"16",1.20,"1","5022","5023",國1,中山高速公路,,"104","1","2","4",,"104",0.8850,4.8323,"1","0","0","2",,0.3880
"17",0.55,"2","5024","5025",工建路,工建路,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"18",0.59,"1","5026","5027",國3,福爾摩沙高速公路,,"104","1","2","3",,"104",0.8850,4.8323,"1","0","0","2",,0.1901
"19",0.50,"1","5028","5027",國3,新臺五路交流道,,"104","1","4","1",,"48",1.0010,4.7645,"1","0","0","2",,
"20",0.26,"2","5029","5028",台5,新台五路一段,,"104","3","27","3",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"21",0.40,"2","5021","5024",中興路,中興路,,"104","6","62","2",,"32",1.5554,3.8290,"0","1","0","2","0",0.0000
"22",0.48,"2","5030","5031",福德二路,福德二路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"23",1.90,"1","5032","5033",國1,中山高速公路,,"104","1","2","4",,"104",0.8850,4.8323,"1","0","0","2",,0.6148
"24",0.50,"2","5030","5034",福德三路,福德三路,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"26",3.71,"1","66010","66009",西部縱貫鐵路,臺鐵,,"104","9","96","0",TRA,,0.0000,,"1","1","1","4",,
"29",0.41,"2","5038","5025",台5甲,大同路一段,,"104","3","25","2",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"30",0.64,"2","5039","10145",明峰街,明峰街,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"32",12.46,"2","5042","10147",北28,八連路二段,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","4","0",0.0000
"34",6.14,"2","5006","5043",北28,北28,,"104","5","56","1",,"60",0.8397,5.3445,"0","0","1","2","0",0.0000
"35",3.73,"2","5043","7223",北28-2,萬崁路,,"104","5","56","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"36",0.23,"1","5044","16696",國5,蔣渭水高速公路,,"104","1","2","2",,"104",0.8850,4.8323,"1","1","0","1",,0.0744
"37",6.92,"2","5046","5047",北32,,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","4","0",0.0000
"38",0.51,"2","5039","10144",康寧街,康寧街,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"41",1.25,"2","5049","5046",北32,舊莊街二段,,"104","5","46","1",,"41",1.5577,3.6819,"0","0","0","1","0",0.0000
"42",0.18,"1","5050","16693",國5,蔣渭水高速公路,,"104","1","2","2",,"104",0.8850,4.8323,"1","1","0","2",,0.0587
"44",4.46,"2","5053","10160",北104,建安路,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"46",3.23,"2","5054","15950",台7乙,台7乙,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"47",0.43,"2","5055","5056",台3,中正路一段,,"104","3","17","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"48",0.53,"2","5057","5058",中華路,中華路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"49",0.13,"2","5059","15938",縣110,復興路,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"50",0.39,"2","5061","5062",文化路,文化路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"51",3.04,"1","5063","16684",國3,第二高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","2",,0.9867
"52",0.59,"1","5065","5066",國1,林口交流道,,"104","1","3","2",,"52",0.8208,4.9382,"1","0","0","3",,
"54",0.13,"2","5195","13980",縣108,,,"104","4","32","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"55",0.48,"1","5068","5171",國1,林口交流道,,"104","1","3","2",,"52",0.8208,4.9382,"1","0","0","5",,
"56",8.52,"2","5070","5071",北108,紫微路,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"57",1.09,"2","5072","15952",台7乙,大埔路,,"104","3","15","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"59",0.23,"2","5062","15939",北85,民生街,,"104","5","46","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"60",2.35,"2","5074","5075",北84,三鶯路,,"104","5","51","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"61",0.81,"2","5074","17124",隆恩街,隆恩街,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"62",0.92,"2","5077","10110",縣106,,,"104","4","38","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"63",0.72,"2","5079","10380",台15,西部濱海公路,,"104","3","21","2",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"64",0.35,"2","5081","13954",北80,,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"65",9.97,"2","5083","5084",北109,牛角坑路,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","1","2","0",0.0000
"66",3.23,"1","5085","16681",國3,第二高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","2",,1.0465
"67",0.48,"2","5056","5087",大同路,大同路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"69",2.80,"2","5088","15964",環河路,環河路,,"104","6","71","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"70",0.66,"2","5090","13977",北76,大科路,,"104","5","50","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"71",4.38,"1","66019","66018",西部縱貫鐵路,臺鐵,,"104","9","96","0",TRA,,0.0000,,"1","1","1","2",,
"72",0.33,"2","5081","13953",北79,,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"73",0.23,"2","5092","13982",縣105,文化路,,"104","4","32","3",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"74",0.15,"2","5156","15628",台1甲,萬壽路一段,,"104","3","19","2",,"50",1.1507,3.7967,"0","0","0","3","0",0.0000
"76",0.17,"2","5096","34832",桃7,文化一路,,"104","5","49","3",,"50",1.1507,3.7967,"0","0","0","3","0",0.0000
"77",1.61,"2","5094","7642",台9甲,新鳥路一段,,"104","3","22","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"83",0.70,"1","5068","5100",國1,中山高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","3",,0.2279
"84",0.88,"1","5101","5066",國1,中山高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","3",,0.2837
"85",0.08,"2","5093","34844",復興三路,復興三路,,"104","6","69","2",,"41",1.5577,3.6819,"0","0","0","3","0",0.0000
"91",0.88,"2","5104","10104",桃北10,西湖街,,"104","5","51","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"92",0.69,"2","5106","10105",北82,大湖路,,"104","5","51","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"95",0.21,"2","5059","15937",和平路,和平路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"96",0.36,"2","5108","5109",大勇路,大勇路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"97",1.12,"1","5133","5110",三鶯交流道機車,三鶯交流道機車,,"104","7","84","1",,"57",0.9721,3.3990,"0","1","1","2",,
"99",0.39,"1","5111","5112",國3,第二高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","2",,0.1269
"100",0.15,"1","5113","7529",國3,三鶯交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","2",,
"101",0.62,"2","5114","5115",北桃83,中正二路,,"104","5","51","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"102",2.82,"2","5116","5117",環河路,環河路,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"103",2.66,"1","5112","26594",國3,第二高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","2",,0.8624
"104",0.95,"2","5119","5116",二甲路,二甲路,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"105",1.36,"1","11005","12979",國3,第二高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","2",,0.4414
"106",0.72,"2","5119","10109",北桃83,中正三路,,"104","5","51","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"112",1.28,"2","16380","15926",尖山路,尖山路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"113",0.10,"2","5123","15899",永明街,永明街,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"114",0.29,"2","5110","15931",中山路,中山路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"116",0.27,"2","5116","10108",二甲路,二甲路,,"104","6","70","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"141",0.29,"2","5115","5119",北桃83,中正三路,,"104","5","51","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"142",0.08,"2","5107","15892",縣110,鶯桃路,,"104","4","31","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"150",0.62,"2","5127","10807",縣110乙,福德一街,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","3","0",0.0000
"156",0.42,"2","5070","5130",台3,大同橋,,"104","3","27","2",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"157",0.91,"2","5131","5130",北85,中園街,,"104","5","47","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"158",0.87,"2","5130","15948",台3,中正路二段,,"104","3","17","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"160",0.31,"1","5132","7531",北85,民權街,,"104","5","46","1",,"41",1.5577,3.6819,"0","0","0","2",,
"161",0.72,"2","5056","5070",台3,中正路一段,,"104","3","17","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"162",0.32,"2","5131","5099",北桃81,大同路,,"104","5","47","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"163",0.10,"2","5056","5057",大同路,大同路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"164",0.30,"2","5109","5061",文化路,文化路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"165",0.28,"2","5126","7530",中山路,中山路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"166",0.13,"2","5126","5109",文化路,文化路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"167",0.07,"2","5073","5132",北85,民權街,,"104","5","46","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"169",0.15,"2","5061","5073",和平路,和平路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"172",0.91,"2","5117","5133",縣110,三鶯大橋,,"104","4","43","2",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"173",0.40,"2","5134","5135",文化路,文化路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"174",0.17,"1","5134","5136",中正一路,中正一路,,"104","6","64","1",,"32",1.5554,3.8290,"0","1","0","2",,
"175",0.14,"1","5137","5138",縣114,國慶街,,"104","4","30","1",,"32",1.5554,3.8290,"0","1","0","2",,
"176",0.12,"2","5125","15905",國華路,國華路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"177",0.14,"2","5139","15923",建國路,建國路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"178",0.12,"2","5123","15900",縣110,鶯桃路,,"104","4","31","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"179",0.15,"2","5140","15924",育英街,育英街,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"180",0.05,"2","5143","15917",縣114,中正一路,,"104","4","31","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"182",0.45,"2","5135","5089",文化路,文化路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"183",0.31,"2","5145","5144",建國路,建國路,,"104","6","64","1",,"32",1.5554,3.8290,"0","1","0","2","0",0.0000
"184",0.49,"2","5142","5138",縣110,尖山埔路,,"104","4","31","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"185",1.14,"2","5146","5147",縣114,中正二路,,"104","4","31","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"186",0.16,"2","5141","15922",縣110,鶯桃路,,"104","4","31","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"188",0.37,"2","5146","5148",尖山埔路,尖山埔路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"189",0.04,"2","5114","5146",縣114,中正二路,,"104","4","31","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"190",0.14,"2","5141","5139",建國路,建國路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"191",0.15,"2","5148","15921",縣110,尖山埔路,,"104","4","31","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"193",0.12,"2","5147","16380",縣110,三鶯大橋,,"104","4","41","1",,"60",0.8397,5.3445,"0","0","0","2","0",0.0000
"194",0.11,"1","5147","5134",文化路,文化路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2",,
"195",0.35,"2","16380","5117",縣110,文化路,,"104","4","31","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"196",0.11,"1","5138","5147",縣110,國慶街,,"104","4","45","2",,"55",1.2312,2.9971,"0","1","0","2",,
"197",0.21,"2","5149","15915",光明街,光明街,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"198",0.21,"2","5140","15913",建國路,建國路,,"104","6","64","1",,"32",1.5554,3.8290,"0","1","0","2","0",0.0000
"199",0.28,"2","5105","15907",桃北10,中山路,,"104","5","49","2",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"200",0.17,"2","5125","15902",光明街,光明街,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"201",0.08,"2","5105","15909",國華路,國華路,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"202",0.13,"2","5149","15903",育英街,育英街,,"104","6","65","1",,"41",1.5577,3.6819,"0","1","0","2","0",0.0000
"203",0.12,"2","5151","10107",縣114,中山路,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"204",0.09,"1","5151","15910",縣114,國慶街,,"104","4","31","1",,"41",1.5577,3.6819,"0","1","0","2",,
"205",0.17,"2","5137","5136",建國路,建國路,,"104","6","64","1",,"32",1.5554,3.8290,"0","1","0","2","0",0.0000
"206",0.20,"2","5136","15918",中正一路,中正一路,,"104","6","64","1",,"32",1.5554,3.8290,"0","1","0","2","0",0.0000
"207",0.16,"1","5150","15912",縣114,國慶街,,"104","4","30","1",,"32",1.5554,3.8290,"0","1","0","2",,
"208",0.31,"2","5136","5145",建國路,建國路,,"104","6","64","1",,"32",1.5554,3.8290,"0","1","0","2","0",0.0000
"211",0.22,"2","5152","15930",縣110,復興路,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"212",0.42,"1","5153","5063",國3,三鶯交流道,,"104","1","3","2",,"52",0.8208,4.9382,"1","0","0","2",,
"213",1.01,"1","5152","5113",三鶯交流道機車,三鶯交流道機車,,"104","7","84","1",,"57",0.9721,3.3990,"0","1","1","2",,
"214",0.43,"1","5121","5153",國3,三鶯交流道,,"104","1","3","2",,"52",0.8208,4.9382,"1","0","0","2",,
"215",0.41,"1","5086","5111",國3,第二高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","2",,0.1325
"216",0.13,"2","5154","5153",縣110,復興路,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"217",0.83,"1","5121","5063",國3,第二高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","2",,0.2678
"218",0.54,"1","5086","5113",國3,三鶯交流道,,"104","1","3","2",,"52",0.8208,4.9382,"1","0","0","2",,
"219",0.08,"2","5133","5074",北84,隆恩街,,"104","5","47","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"220",0.39,"1","5111","5154",國3,三鶯交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","2",,
"221",0.12,"2","5113","7528",縣110,復興路,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"222",0.10,"2","5133","5113",縣110,復興路,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"223",0.04,"2","5153","5155",縣110,復興路,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"224",0.06,"2","5155","5152",縣110,復興路,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"225",0.07,"2","5155","5110",大智路,大智路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"226",0.13,"2","5108","17127",縣110,復興路,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"227",0.23,"2","5144","5089",縣114,中正一路,,"104","4","33","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"228",0.95,"2","5104","5106",桃82-1,大湖路,,"104","5","51","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"236",0.35,"2","5158","26560",桃北10,大湖路,,"104","5","51","1",,"50",1.1507,3.7967,"0","0","0","3","0",0.0000
"245",1.18,"2","5106","30815",北82-1,中湖街,,"104","5","51","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"247",0.31,"2","5156","35222",台1,東萬壽路,,"104","3","19","2",,"50",1.1507,3.7967,"0","0","0","3","0",0.0000
"249",0.52,"2","5160","13957",縣106,,,"104","4","38","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"250",0.32,"2","5161","13956",北77,,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"251",3.10,"2","5162","10111",北77-1,,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"258",0.03,"2","16639","16638",縣106,,,"104","4","38","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"263",0.32,"2","5170","5171",縣105,文化路,,"104","4","32","3",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"264",0.67,"2","5172","13985",文化二路,文化二路,,"104","6","66","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"265",0.60,"1","5170","9357",桃2,八德路,,"104","5","47","2",,"50",1.1507,3.7967,"0","0","0","2",,
"266",0.03,"-1","5174","9355",其他道路,八德路,,"104","6","63","2",,"41",1.5577,3.6819,"0","0","0","5",,
"269",0.79,"1","5177","5178",國1,中山高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","3",,0.2568
"270",0.78,"1","5179","5180",國1,中山高速公路,,"104","1","1","4",,"104",0.8850,4.8323,"1","0","0","3",,0.2540
"271",0.42,"1","5177","5181",國1,林口交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","3",,
"272",0.41,"1","5174","5180",國1,林口交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","3",,
"273",0.17,"2","5174","5181",文化北路,文化北路,,"104","6","68","3",,"32",1.5554,3.8290,"0","0","0","5","0",0.0000
"274",0.10,"-1","5176","31464",其他道路,其他道路,,"104","6","69","2",,"41",1.5577,3.6819,"0","0","0","3",,
"281",0.31,"2","5183","14028",文化二路,文化二路,,"104","6","68","2",,"32",1.5554,3.8290,"0","0","0","3","0",0.0000
"283",0.53,"1","5184","5185",國1,林口交流道,,"104","1","1","2",,"104",0.8850,4.8323,"1","0","0","2",,0.1724
"284",0.45,"1","5186","5187",國1,林口交流道,,"104","1","1","2",,"104",0.8850,4.8323,"1","0","0","3",,0.1469
"288",0.41,"-1","5175","5189",其他道路,八德路,,"104","6","63","2",,"41",1.5577,3.6819,"0","0","0","2",,
"289",0.16,"2","5190","9345",復興街,復興街,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","3","0",0.0000
"291",0.14,"1","5185","5179",國1,林口交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","5",,
"292",0.42,"-1","5191","5176",永樂巷,永樂巷,,"104","6","69","2",,"41",1.5577,3.6819,"0","0","0","3",,
"293",0.33,"1","5185","5175",國1,林口交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","2",,
"297",0.30,"1","5176","5186",國1,林口交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","3",,
"299",0.10,"1","5178","5186",國1,林口交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","3",,
"301",0.15,"2","5173","5183",文化二路,文化二路,,"104","6","63","2",,"41",1.5577,3.6819,"0","0","0","5","0",0.0000
"302",0.29,"-1","5189","5173",其他道路,八德路,,"104","6","63","2",,"41",1.5577,3.6819,"0","0","0","2",,
"303",0.13,"-1","5190","5191",永樂巷,永樂巷,,"104","6","69","2",,"41",1.5577,3.6819,"0","0","0","3",,
"304",0.15,"2","5189","5191",其他道路,其他道路,,"104","6","63","2",,"41",1.5577,3.6819,"0","0","0","5","0",0.0000
"305",0.14,"-1","5183","5190",其他道路,其他道路,,"104","6","69","3",,"41",1.5577,3.6819,"0","0","0","3",,
"306",0.05,"2","5173","5172",文化二路,文化二路,,"104","6","66","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"308",0.18,"2","5182","32891",文化二路,文化二路,,"104","6","69","2",,"41",1.5577,3.6819,"0","0","0","3","0",0.0000
"315",0.11,"2","5171","5065",縣105,文化一路,,"104","4","32","3",,"32",1.5554,3.8290,"0","0","0","5","0",0.0000
"316",0.07,"1","5192","5065",其他道路,其他道路,,"104","6","68","2",,"32",1.5554,3.8290,"0","0","0","3",,
"319",0.35,"1","5187","5192",國1,林口交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","3",,
"320",0.23,"1","5193","5184",國1,林口交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","2",,
"321",0.20,"1","5192","5193",國1,林口交流道迴轉道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","5",,
"322",0.13,"1","5187","5101",國1,林口交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","3",,
"323",0.07,"1","5100","5184",國1,林口交流道,,"104","1","3","1",,"52",0.8208,4.9382,"1","0","0","5",,
"324",0.06,"1","5171","5193",其他道路,其他道路,,"104","6","63","2",,"41",1.5577,3.6819,"0","0","0","2",,
"329",0.05,"2","5065","10605",縣105,文化一路,,"104","4","32","3",,"32",1.5554,3.8290,"0","0","0","3","0",0.0000
"334",0.15,"2","5195","13981",忠孝路,忠孝路,,"104","6","66","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"336",0.16,"2","5195","13984",縣108,忠孝路,,"104","4","32","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"339",0.36,"2","9338","5194",縣108,忠孝路,,"104","4","32","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"341",0.21,"2","5090","5170",縣105,文化路,,"104","4","32","3",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"343",0.98,"2","5161","13958",北77-1,,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"344",0.77,"2","5165","13997",台15,,,"104","3","21","2",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"345",2.35,"2","5165","5161",北77,,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"346",1.16,"2","5162","5160",縣106,,,"104","4","38","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"347",0.42,"2","5080","5082",北79,,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"348",0.29,"2","5095","17212",北107,,,"104","5","50","1",,"41",1.5577,3.6819,"0","0","1","2","0",0.0000
"350",9.19,"2","5197","5198",北114,北114,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","1","2","0",0.0000
"351",6.92,"2","5197","5199",北桃113,北桃113,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","0","2","0",0.0000
"352",3.29,"2","5054","15954",北114,北114,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","1","2","0",0.0000
"354",0.50,"2","5084","5197",北114,北114,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","1","2","0",0.0000
"355",9.93,"2","5083","10161",北109,竹崙路,,"104","5","54","1",,"50",3.7600,3.2900,"0","0","1","2","0",0.0000
"376",0.17,"2","5202","5203",台1甲,臺北大橋,,"104","3","14","2",,"32",1.5554,3.8290,"1","0","0","2","0",0.0000
"380",0.76,"2","5204","5205",北70-1,,,"104","5","47","1",,"50",1.1507,3.7967,"0","0","0","2","0",0.0000
"381",0.68,"2","5206","5207",新莊路,新莊路,,"104","6","62","1",,"32",1.5554,3.8290,"0","1","1","2","0",0.0000
"382",0.61,"1","5208","10308",縣106甲,大漢溪橋,,"104","4","42","3",,"60",0.8397,5.3445,"1","0","0","2",,
"383",0.61,"2","5209","13650",公園一路,公園一路,,"104","6","65","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"384",0.41,"2","5211","5212",三和路,三和路,,"104","6","62","1",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"385",0.23,"2","5213","5212",北72,,,"104","5","46","1",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"388",0.42,"2","5215","5216",縣110,安康路二段,,"104","4","30","2",,"32",1.5554,3.8290,"0","0","0","2","0",0.0000
"389",0.22,"2","5209","13651",臺1甲,,,"104","3","17","2",,"41",1.5577,3.6819,"0","0","0","2","0",0.0000
"394",2.99,"1","66013","66012",西部縱貫鐵路,臺鐵,,"104","9","96","0",TRA,,0.0000,,"1","1","1","1",,
"396",0.84,"1","83108","83109",臺北捷運,紅線,,"104","9","96","0",MRT,,0.0000,,"1","1","1","1",,
