tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	4.5	4.5	0.0
5003	5006	1300.0	4.13	4.13	4.148992265963342	490.68021311674863
5007	5008	1650.0	1.23	2.30625	71.32198685181282	3571.672934480881
5009	10122	1570.0	0.54	8.100000000000001	8.100000000000001	0.0
5011	5001	1300.0	1.47	1.47	1.470197792062396	253.41017374230955
5012	8725	1570.0	2.17	2.604	2.7030382529637618	388.60538579114444
5014	5015	1570.0	1.55	1.8599999999999999	1.8600026438943833	17.530130854720806
5016	5014	1570.0	6.69	8.028	8.028	0.0
5018	5019	5670.0	1.861166	1.0737496153846156	1.0873623314510266	2355.0743194044326
5020	10146	860.0	0.29	0.54375	0.5439551432513229	97.80017435739909
5022	5023	7470.0	1.197082	0.6906242307692307	1.804327044173399	8457.579918123207
5024	5025	770.0	0.55	1.03125	2.069316301175263	687.2829190794932
5026	5027	5670.0	0.586561	0.3384005769230769	0.36807486368702635	3514.113038619577
5028	5027	2070.0	0.500668	0.625835	0.6305523663338704	741.8949333174039
5029	5028	5880.0	0.26	0.26	0.2602092442320406	1601.775232885145
5021	5024	1570.0	0.4	0.75	2.0099692487795204	1601.9071332047038
5030	5031	910.0	0.48	0.7024390243902439	0.7069304635605409	204.55702992774803
5032	5033	7470.0	1.89709	1.094475	1.1550320721669605	4208.885832288036
5030	5034	770.0	0.5	0.9375	0.9375	0.0
5038	5025	3920.0	0.41	0.41	0.4199554815898201	2020.0184978030697
5039	10145	910.0	0.64	0.9365853658536585	0.9427385128655401	206.06866238759594
5042	10147	1570.0	12.46	14.952	14.95201547534765	15.918556716937077
5006	5043	1300.0	6.14	6.14	6.168235475306276	490.68021311674863
5043	7223	1300.0	3.73	3.73	3.73000007320764	48.53651687143408
5044	16696	3870.0	0.229508	0.13240846153846153	0.13264619844514908	1072.6760268692099
5046	5047	1570.0	6.92	8.304	8.304	0.0
5039	10144	770.0	0.51	0.95625	0.9822322017485708	267.56638267094445
5049	5046	770.0	1.25	1.8292682926829267	1.8292682926829267	0.0
5050	16693	3870.0	0.181224	0.1045523076923077	0.10629564613596246	1701.21727903976
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.884559819086727	163.60638623429244
5055	5056	1950.0	0.43	0.6292682926829268	0.6293868133490264	168.2825021742233
5057	5058	910.0	0.53	0.775609756097561	0.775609756097561	0.0
5059	15938	1950.0	0.13	0.1902439024390244	0.1913545624473202	427.639394125481
5061	5062	910.0	0.39	0.5707317073170731	0.5771785407270821	238.7463267129964
5063	16684	8300.0	3.044577	1.7564867307692307	3.7783301824408593	8763.999124671835
5065	5066	4000.0	0.593473	0.6847765384615385	0.6847825303241614	393.70411675376215
5195	13980	1650.0	0.13	0.24375000000000002	0.32837814214874705	1115.3075671179902
5068	5171	4000.0	0.481766	0.5558838461538462	0.7884215934765627	3489.6488184295176
5070	5071	1570.0	8.52	10.224	10.226847486483786	87.19167644033473
5072	15952	910.0	1.09	1.5951219512195123	1.9356014998102857	530.3967287816785
